scaffold_name	qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	stitle	staxids	sscinames	sphylums	skingdoms	sskingdoms
scaffold_157_c1	scaffold_157_c1_1	WP_224440992_1	92.1	38	3	0	1	38	1	38	6.28e-15	76.3	38	299	WP_224440992_1 RNA-guided endonuclease TnpB family protein [Tepidimonas taiwanensis] >TSE28102.1 putative transposase [Tepidimonas taiwanensis] >UBQ05884.1 transposase [Tepidimonas taiwanensis]	307486	Tepidimonas taiwanensis	Proteobacteria	0	Bacteria
scaffold_157_c1	scaffold_157_c1_2	WP_114910877_1	47.5	80	39	1	1	80	1	77	5.42e-13	68.9	83	86	WP_114910877_1 hypothetical protein [Acidibrevibacterium fodinaquatile]	1969806	Acidibrevibacterium fodinaquatile	Proteobacteria	0	Bacteria
scaffold_157_c1	scaffold_157_c1_4	WP_249761623_1	28.5	842	542	13	1661	2462	83	904	5.02e-77	290	2516	952	WP_249761623_1 hypothetical protein [Bradyrhizobium sp. C-145] >UQR67706.1 hypothetical protein LRP30_21705 [Bradyrhizobium sp. C-145]	574727	Bradyrhizobium sp. C-145	Proteobacteria	0	Bacteria
scaffold_157_c1	scaffold_157_c1_5	WP_204852380_1	37.5	283	142	8	1	281	1	250	2.13e-24	122	741	1170	WP_204852380_1 hypothetical protein [Rhizobium lusitanum] >MBM7047582.1 hypothetical protein [Rhizobium lusitanum]	293958	Rhizobium lusitanum	Proteobacteria	0	Bacteria
scaffold_157_c1	scaffold_157_c1_6	WP_227306741_1	26.1	142	102	2	13	154	11	149	1.24e-06	57.0	160	161	WP_227306741_1 GNAT family N-acetyltransferase [Acidisoma cellulosilyticum] >MCB8880135.1 GNAT family N-acetyltransferase [Acidisoma cellulosilyticum]	2802395	Acidisoma cellulosilyticum	Proteobacteria	0	Bacteria
scaffold_157_c1	scaffold_157_c1_8	UOF80319_1	41.2	187	65	6	260	442	47	192	2.66e-23	108	444	193	UOF80319_1 hypothetical protein [Myoviridae sp.]	2202564	Myoviridae sp.	Uroviricota	Heunggongvirae	Viruses
scaffold_157_c1	scaffold_157_c1_10	WP_198853668_1	52.1	73	35	0	38	110	604	676	2.93e-14	79.0	111	678	WP_198853668_1 hypothetical protein [Alicyclobacillus sp. SO9] >QQE80940.1 hypothetical protein GI364_11445 [Alicyclobacillus sp. SO9]	2665646	Alicyclobacillus sp. SO9	Firmicutes	0	Bacteria
scaffold_157_c1	scaffold_157_c1_13	TIN65100_1	38.7	643	367	12	4	636	41	666	1.87e-129	406	637	666	TIN65100_1 hypothetical protein E5Y26_06860 [Mesorhizobium sp.]	1871066	Mesorhizobium sp.	Proteobacteria	0	Bacteria
scaffold_157_c1	scaffold_157_c1_14	MCH9621736_1	38.4	138	80	4	1	137	1	134	1.94e-11	78.2	545	345	MCH9621736_1 hypothetical protein [Chlamydiia bacterium]	2052156	Chlamydiia bacterium	Chlamydiae	0	Bacteria
scaffold_157_c1	scaffold_157_c1_15	WP_072639298_1	38.9	229	120	4	29	257	23	231	3.95e-39	146	259	232	WP_072639298_1 hypothetical protein [Rhizobium leguminosarum] >API52852.1 hypothetical protein BMW22_15615 [Rhizobium leguminosarum]	384	Rhizobium leguminosarum	Proteobacteria	0	Bacteria
scaffold_157_c1	scaffold_157_c1_17	CAB4169153_1	41.7	120	49	2	11	130	12	110	1.45e-20	92.8	141	166	CAB4169153_1 hypothetical protein UFOVP893_55 [uncultured Caudovirales phage] >CAB4210787.1 hypothetical protein UFOVP1413_49 [uncultured Caudovirales phage]	2100421	uncultured Caudovirales phage	Uroviricota	Heunggongvirae	Viruses
scaffold_157_c1	scaffold_157_c1_18	MBI5781382_1	91.4	257	22	0	85	341	35	291	4.95e-161	462	342	291	MBI5781382_1 IS200/IS605 family element transposase accessory protein TnpB [Rhodocyclales bacterium]	2072421	Rhodocyclales bacterium	Proteobacteria	0	Bacteria
scaffold_157_c1	scaffold_157_c1_19	CAB4155672_1	26.5	400	193	10	7	402	3	305	1.24e-29	127	403	306	CAB4155672_1 hypothetical protein UFOVP663_19 [uncultured Caudovirales phage] >CAB4168784.1 hypothetical protein UFOVP894_67 [uncultured Caudovirales phage] >CAB4181373.1 hypothetical protein UFOVP1069_33 [uncultured Caudovirales phage] >CAB4195785.1 hypothetical protein UFOVP1301_34 [uncultured Caudovirales phage] >CAB4210339.1 hypothetical protein UFOVP1415_7 [uncultured Caudovirales phage]	2100421	uncultured Caudovirales phage	Uroviricota	Heunggongvirae	Viruses
scaffold_157_c1	scaffold_157_c1_21	WP_013032060_1	45.9	133	71	1	7	138	1	133	4.99e-32	121	143	138	WP_013032060_1 glycoside hydrolase family protein [Nitrosococcus halophilus] >ADE14168.1 glycoside hydrolase family 24 [Nitrosococcus halophilus Nc 4]	133539	Nitrosococcus halophilus	Proteobacteria	0	Bacteria
scaffold_157_c1	scaffold_157_c1_23	NDB70332_1	35.5	155	97	3	1	153	1	154	6.43e-13	76.6	223	218	NDB70332_1 hypothetical protein [Methylocystaceae bacterium]	2052174	Methylocystaceae bacterium	Proteobacteria	0	Bacteria
scaffold_157_c1	scaffold_157_c1_24	MBX3547310_1	40.1	307	166	6	2	308	3	291	4.35e-43	160	311	295	MBX3547310_1 hypothetical protein [Chelatococcus sp.]	1953771	Chelatococcus sp.	Proteobacteria	0	Bacteria
scaffold_157_c1	scaffold_157_c1_25	WP_072639305_1	52.7	300	140	2	2	299	3	302	1.35e-101	310	304	304	WP_072639305_1 hypothetical protein [Rhizobium leguminosarum] >API52859.1 hypothetical protein BMW22_15650 [Rhizobium leguminosarum]	384	Rhizobium leguminosarum	Proteobacteria	0	Bacteria
scaffold_157_c1	scaffold_157_c1_26	OYV54515_1	36.4	198	110	8	1	192	1	188	6.70e-23	101	197	197	OYV54515_1 hypothetical protein B7Z76_14160 [Acidiphilium sp. 20-67-58]	1970291	Acidiphilium sp. 20-67-58	Proteobacteria	0	Bacteria
scaffold_157_c1	scaffold_157_c1_27	KPK59020_1	33.6	110	70	1	5	114	33	139	1.26e-09	65.1	151	181	KPK59020_1 hypothetical protein AMJ59_12665 [Gammaproteobacteria bacterium SG8_31]	1703405	Gammaproteobacteria bacterium SG8_31	Proteobacteria	0	Bacteria
scaffold_157_c1	scaffold_157_c1_28	NBS71142_1	29.8	198	100	6	116	298	32	205	4.92e-06	59.3	345	226	NBS71142_1 hypothetical protein [bacterium]	1869227	bacterium	0	0	Bacteria
scaffold_157_c1	scaffold_157_c1_30	WP_227306726_1	37.3	142	78	5	7	147	9	140	5.18e-23	98.6	148	140	WP_227306726_1 hypothetical protein [Acidisoma cellulosilyticum] >MCB8880120.1 hypothetical protein [Acidisoma cellulosilyticum]	2802395	Acidisoma cellulosilyticum	Proteobacteria	0	Bacteria
scaffold_157_c1	scaffold_157_c1_33	MBN9434003_1	43.9	560	294	11	56	602	74	626	1.52e-136	429	705	718	MBN9434003_1 hypothetical protein [Bosea sp.]	1871050	Bosea sp.	Proteobacteria	0	Bacteria
scaffold_157_c1	scaffold_157_c1_34	OYV98514_1	47.0	511	228	7	38	535	15	495	4.34e-149	448	553	511	OYV98514_1 hypothetical protein B7Z68_00690 [Acidobacteria bacterium 21-70-11]	1970485	Acidobacteria bacterium 21-70-11	Acidobacteria	0	Bacteria
scaffold_157_c1	scaffold_157_c1_35	MCC7375399_1	35.2	483	258	9	6	461	3	457	3.89e-93	300	467	472	MCC7375399_1 DEAD/DEAH box helicase [Verrucomicrobiales bacterium]	2026801	Verrucomicrobiales bacterium	Verrucomicrobia	0	Bacteria
scaffold_157_c1	scaffold_157_c1_36	MTA40650_1	37.1	89	51	1	12	100	10	93	3.64e-10	63.9	117	119	MTA40650_1 hypothetical protein [Actinomycetia bacterium]	1883427	Actinomycetia bacterium	Actinobacteria	0	Bacteria
